Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
sample_021	0.411522633744856	99.58847736625458
sample_022	0.6172839506172839	99.38271604938215
sample_031	0.9900990099009901	99.00990099009931
sample_032	0.9900990099009901	99.00990099009931
sample_041	1.5873015873015872	98.41269841269852
sample_042	1.5873015873015872	98.41269841269852
sample_051	0.4464285714285714	99.55357142857066
sample_052	0.4464285714285714	99.55357142857066
sample_061	0.36014405762304924	99.63985594237714
sample_062	0.36014405762304924	99.63985594237714
sample_071	0.5376344086021506	99.46236559139719
sample_072	0.8064516129032258	99.1935483870961
sample_081	1.1111111111111112	98.88888888888911
sample_082	1.1111111111111112	98.88888888888911
sample_091	0.4658385093167702	99.53416149068283
sample_092	0.4658385093167702	99.53416149068283
sample_101	0.5405405405405406	99.4594594594603
sample_102	0.5405405405405406	99.4594594594603
