sample,condition
ENSG00000204859,normal
ENSG00000162413,normal
ENSG00000116273,normal
ENSG00000041988,normal
ENSG00000007923,normal
ENSG00000228750,normal
ENSG00000284744,normal
ENSG00000237436,normal
ENSG00000171735,normal
ENSG00000227950,normal
ENSG00000237365,normal
ENSG00000207056,normal
ENSG00000237402,normal
ENSG00000237728,normal
ENSG00000225126,normal
ENSG00000270171,normal
ENSG00000270035,normal
ENSG00000269978,normal
ENSG00000049245,normal
ENSG00000269925,normal
ENSG00000049246,normal
ENSG00000236266,normal
ENSG00000049247,normal
ENSG00000049249,normal
ENSG00000270330,normal
ENSG00000116288,normal
ENSG00000200344,normal
ENSG00000284747,normal
ENSG00000284716,normal
ENSG00000116285,normal
ENSG00000238290,normal
ENSG00000232848,normal
ENSG00000229305,normal
ENSG00000288816,normal
ENSG00000227634,normal
ENSG00000200975,normal
ENSG00000233645,normal
ENSG00000251977,normal
ENSG00000162426,normal
ENSG00000252254,normal
ENSG00000142599,normal
ENSG00000232912,normal
ENSG00000221083,normal
ENSG00000270282,normal
ENSG00000234619,normal
ENSG00000224315,normal
ENSG00000222511,normal
ENSG00000226545,normal
ENSG00000228423,normal
ENSG00000229716,normal
ENSG00000074800,normal
ENSG00000274258,normal
ENSG00000230679,normal
ENSG00000201725,normal
ENSG00000238249,normal
ENSG00000232208,normal
ENSG00000232663,normal
ENSG00000131686,normal
ENSG00000290109,normal
ENSG00000265141,normal
ENSG00000197241,normal
ENSG00000142583,normal
ENSG00000252404,normal
ENSG00000180758,normal
ENSG00000228526,normal
ENSG00000284357,normal
ENSG00000289914,normal
ENSG00000234546,normal
ENSG00000049239,normal
ENSG00000171621,normal
ENSG00000284652,normal
ENSG00000284693,normal
ENSG00000252956,normal
ENSG00000235263,normal
ENSG00000171612,normal
ENSG00000231181,normal
ENSG00000188807,normal
ENSG00000171608,normal
ENSG00000179840,normal
ENSG00000233268,normal
ENSG00000231789,normal
ENSG00000171603,normal
ENSG00000271264,normal
ENSG00000280113,normal
ENSG00000178585,normal
ENSG00000223989,normal
ENSG00000285701,normal
ENSG00000162441,normal
ENSG00000228150,normal
ENSG00000173614,normal
ENSG00000202415,normal
ENSG00000283611,normal
ENSG00000265521,normal
ENSG00000241326,normal
ENSG00000162444,normal
ENSG00000130939,normal
ENSG00000224340,normal
ENSG00000233623,normal
ENSG00000201746,normal
ENSG00000054523,normal
ENSG00000264881,normal
ENSG00000199562,normal
ENSG00000264501,normal
ENSG00000284735,normal
ENSG00000284642,normal
ENSG00000142657,normal
ENSG00000271989,normal
ENSG00000251503,normal
ENSG00000175279,normal
ENSG00000241563,normal
ENSG00000160049,normal
ENSG00000203469,normal
ENSG00000142655,normal
ENSG00000287727,normal
ENSG00000243267,normal
ENSG00000130940,normal
ENSG00000272078,normal
ENSG00000225158,normal
ENSG00000175262,normal
ENSG00000215785,normal
ENSG00000120948,normal
ENSG00000009724,normal
ENSG00000116649,normal
ENSG00000171824,normal
ENSG00000226849,normal
ENSG00000230337,normal
ENSG00000198793,normal
ENSG00000225602,normal
ENSG00000253086,normal
ENSG00000171819,normal
ENSG00000207451,normal
ENSG00000238173,normal
ENSG00000120942,normal
ENSG00000238199,normal
ENSG00000284646,normal
ENSG00000224338,normal
ENSG00000204624,normal
ENSG00000285833,normal
ENSG00000235643,normal
ENSG00000284708,normal
ENSG00000116661,normal
ENSG00000132879,normal
ENSG00000116670,normal
ENSG00000116663,normal
ENSG00000162490,normal
ENSG00000177674,normal
ENSG00000215910,normal
ENSG00000177553,normal
ENSG00000177000,normal
ENSG00000011021,normal
ENSG00000276470,normal
ENSG00000278852,normal
ENSG00000175206,normal
ENSG00000275915,normal
ENSG00000120937,normal
ENSG00000224904,normal
ENSG00000285646,normal
ENSG00000199347,normal
ENSG00000201801,normal
ENSG00000116685,normal
ENSG00000083444,normal
ENSG00000287384,normal
ENSG00000116688,normal
ENSG00000270914,normal
ENSG00000116691,normal
ENSG00000202461,normal
ENSG00000276869,normal
ENSG00000243539,normal
ENSG00000120949,normal
ENSG00000201135,normal
ENSG00000227875,normal
ENSG00000285604,normal
ENSG00000283789,normal
ENSG00000028137,normal
ENSG00000263676,normal
ENSG00000225196,normal
ENSG00000252969,normal
ENSG00000048707,normal
ENSG00000239149,normal
ENSG00000229484,normal
ENSG00000162496,normal
ENSG00000221340,normal
ENSG00000276830,normal
ENSG00000288927,normal
ENSG00000272482,normal
ENSG00000204518,normal
ENSG00000226166,normal
ENSG00000188984,normal
ENSG00000157330,normal
ENSG00000116726,normal
ENSG00000116721,normal
ENSG00000228338,normal
ENSG00000239810,normal
ENSG00000231103,normal
ENSG00000179172,normal
ENSG00000120952,normal
ENSG00000243073,normal
ENSG00000187545,normal
ENSG00000204510,normal
ENSG00000207434,normal
ENSG00000234064,normal
ENSG00000232423,normal
ENSG00000274178,normal
ENSG00000274764,normal
ENSG00000277058,normal
ENSG00000229571,normal
ENSG00000277862,normal
ENSG00000236179,normal
ENSG00000275774,normal
ENSG00000229978,normal
ENSG00000290772,normal
ENSG00000233336,normal
ENSG00000280267,normal
ENSG00000179412,normal
ENSG00000204505,normal
ENSG00000279169,normal
ENSG00000279804,normal
ENSG00000250894,normal
ENSG00000270601,normal
ENSG00000231219,normal
ENSG00000207511,normal
ENSG00000182330,normal
ENSG00000237700,normal
ENSG00000204501,normal
ENSG00000228229,normal
ENSG00000204481,normal
ENSG00000204480,normal
ENSG00000204479,normal
ENSG00000204478,normal
ENSG00000162494,normal
ENSG00000259961,normal
ENSG00000215909,normal
ENSG00000162493,normal
ENSG00000222952,normal
ENSG00000237445,normal
ENSG00000253085,normal
ENSG00000116731,normal
ENSG00000289380,normal
ENSG00000189337,normal
ENSG00000252151,normal
ENSG00000231606,normal
ENSG00000234593,normal
ENSG00000235829,normal
ENSG00000287756,normal
ENSG00000175147,normal
ENSG00000171729,normal
ENSG00000204464,normal
ENSG00000215720,normal
ENSG00000278480,normal
ENSG00000142621,normal
ENSG00000233485,normal
ENSG00000236045,normal
ENSG00000228140,normal
ENSG00000142634,normal
ENSG00000162438,normal
ENSG00000142615,normal
ENSG00000215704,normal
ENSG00000132906,normal
ENSG00000116138,normal
ENSG00000251866,normal
ENSG00000272510,normal
ENSG00000116771,normal
ENSG00000237301,normal
ENSG00000235084,normal
ENSG00000252417,normal
ENSG00000236500,normal
ENSG00000197312,normal
ENSG00000215695,normal
ENSG00000271742,normal
ENSG00000116786,normal
ENSG00000237938,normal
ENSG00000162461,normal
ENSG00000224459,normal
ENSG00000162460,normal
ENSG00000162458,normal
ENSG00000224321,normal
ENSG00000233954,normal
ENSG00000178715,normal
ENSG00000179743,normal
ENSG00000065526,normal
ENSG00000270620,normal
ENSG00000116809,normal
ENSG00000234607,normal
ENSG00000231353,normal
ENSG00000275503,normal
ENSG00000224966,normal
ENSG00000183888,normal
ENSG00000233078,normal
ENSG00000173641,normal
ENSG00000186510,normal
ENSG00000232456,normal
ENSG00000184908,normal
ENSG00000185519,normal
ENSG00000142627,normal
ENSG00000227959,normal
ENSG00000224621,normal
ENSG00000234166,normal
ENSG00000142632,normal
ENSG00000291077,normal
ENSG00000237276,normal
ENSG00000288398,normal
ENSG00000132881,normal
ENSG00000233929,normal
ENSG00000037637,normal
ENSG00000055070,normal
ENSG00000226457,normal
ENSG00000187144,normal
ENSG00000157191,normal
ENSG00000226029,normal
ENSG00000290842,normal
ENSG00000080947,normal
ENSG00000206652,normal
ENSG00000261135,normal
ENSG00000285853,normal
ENSG00000224174,normal
ENSG00000233421,normal
ENSG00000277344,normal
ENSG00000225710,normal
ENSG00000219481,normal
ENSG00000271732,normal
ENSG00000291072,normal
ENSG00000215908,normal
ENSG00000283773,normal
ENSG00000186301,normal
ENSG00000282143,normal
ENSG00000207513,normal
ENSG00000280114,normal
ENSG00000236698,normal
ENSG00000290849,normal
ENSG00000268869,normal
ENSG00000279151,normal
ENSG00000282740,normal
ENSG00000058453,normal
ENSG00000290850,normal
ENSG00000207389,normal
ENSG00000227684,normal
ENSG00000290851,normal
ENSG00000186715,normal
ENSG00000223643,normal
ENSG00000230239,normal
ENSG00000263811,normal
ENSG00000228549,normal
ENSG00000277234,normal
ENSG00000238142,normal
ENSG00000235241,normal
ENSG00000207005,normal
ENSG00000272426,normal
ENSG00000290122,normal
ENSG00000117122,normal
ENSG00000286898,normal
ENSG00000226526,normal
ENSG00000159363,normal
ENSG00000288636,normal
ENSG00000117118,normal
ENSG00000117115,normal
ENSG00000204362,normal
ENSG00000282843,normal
ENSG00000142623,normal
ENSG00000142619,normal
ENSG00000266634,normal
ENSG00000159339,normal
ENSG00000276747,normal
ENSG00000227751,normal
ENSG00000179051,normal
ENSG00000290096,normal
ENSG00000074964,normal
ENSG00000236648,normal
ENSG00000117148,normal
