sample,condition
ENSG00000231029,normal
ENSG00000241666,normal
ENSG00000198771,normal
ENSG00000197965,normal
ENSG00000143199,normal
ENSG00000250762,normal
ENSG00000232194,normal
ENSG00000143158,normal
ENSG00000143164,normal
ENSG00000221545,normal
ENSG00000224837,normal
ENSG00000143147,normal
ENSG00000143155,normal
ENSG00000237049,normal
ENSG00000237131,normal
ENSG00000213064,normal
ENSG00000214262,normal
ENSG00000206880,normal
ENSG00000143178,normal
ENSG00000227722,normal
ENSG00000207974,normal
ENSG00000228697,normal
ENSG00000283255,normal
ENSG00000215833,normal
ENSG00000143185,normal
ENSG00000227777,normal
ENSG00000143184,normal
ENSG00000229757,normal
ENSG00000143196,normal
ENSG00000285622,normal
ENSG00000235736,normal
ENSG00000225826,normal
ENSG00000229612,normal
ENSG00000287831,normal
ENSG00000203601,normal
ENSG00000213063,normal
ENSG00000287282,normal
ENSG00000252987,normal
ENSG00000237707,normal
ENSG00000143153,normal
ENSG00000289466,normal
ENSG00000143156,normal
ENSG00000235575,normal
ENSG00000117475,normal
ENSG00000117477,normal
ENSG00000117479,normal
ENSG00000234604,normal
ENSG00000213062,normal
ENSG00000198734,normal
ENSG00000174175,normal
ENSG00000000460,normal
ENSG00000188404,normal
ENSG00000007908,normal
ENSG00000230704,normal
ENSG00000171806,normal
ENSG00000000457,normal
ENSG00000239494,normal
ENSG00000288139,normal
ENSG00000075945,normal
ENSG00000243051,normal
ENSG00000235378,normal
ENSG00000232959,normal
ENSG00000224896,normal
ENSG00000203740,normal
ENSG00000283340,normal
ENSG00000263390,normal
ENSG00000233985,normal
ENSG00000238051,normal
ENSG00000224286,normal
ENSG00000226967,normal
ENSG00000231407,normal
ENSG00000120370,normal
ENSG00000225545,normal
ENSG00000235303,normal
ENSG00000116132,normal
ENSG00000271811,normal
ENSG00000231424,normal
ENSG00000117501,normal
ENSG00000226552,normal
ENSG00000007933,normal
ENSG00000221390,normal
ENSG00000283598,normal
ENSG00000117507,normal
ENSG00000094963,normal
ENSG00000225243,normal
ENSG00000010932,normal
ENSG00000206692,normal
ENSG00000230547,normal
ENSG00000076258,normal
ENSG00000285665,normal
ENSG00000268062,normal
ENSG00000239428,normal
ENSG00000234333,normal
ENSG00000117523,normal
ENSG00000283683,normal
ENSG00000034971,normal
ENSG00000233328,normal
ENSG00000230364,normal
ENSG00000117533,normal
ENSG00000232261,normal
ENSG00000271459,normal
ENSG00000236741,normal
ENSG00000253060,normal
ENSG00000010165,normal
ENSG00000213060,normal
ENSG00000197959,normal
ENSG00000224600,normal
ENSG00000233540,normal
ENSG00000230630,normal
ENSG00000283844,normal
ENSG00000283152,normal
ENSG00000208024,normal
ENSG00000287336,normal
ENSG00000206684,normal
ENSG00000135845,normal
ENSG00000180999,normal
ENSG00000094975,normal
ENSG00000251943,normal
ENSG00000117560,normal
ENSG00000229785,normal
ENSG00000279061,normal
ENSG00000224228,normal
ENSG00000227177,normal
ENSG00000224000,normal
ENSG00000120337,normal
ENSG00000230849,normal
ENSG00000226375,normal
ENSG00000117586,normal
ENSG00000232751,normal
ENSG00000231615,normal
ENSG00000203739,normal
ENSG00000117592,normal
ENSG00000162753,normal
ENSG00000238272,normal
ENSG00000285777,normal
ENSG00000183831,normal
ENSG00000232113,normal
ENSG00000289426,normal
ENSG00000076321,normal
ENSG00000225591,normal
ENSG00000200674,normal
ENSG00000120334,normal
ENSG00000252357,normal
ENSG00000117593,normal
ENSG00000234741,normal
ENSG00000270084,normal
ENSG00000185278,normal
ENSG00000117601,normal
ENSG00000252231,normal
ENSG00000135870,normal
ENSG00000200755,normal
ENSG00000236535,normal
ENSG00000224977,normal
ENSG00000225713,normal
ENSG00000227373,normal
ENSG00000152061,normal
ENSG00000237317,normal
ENSG00000203737,normal
ENSG00000223828,normal
ENSG00000231378,normal
ENSG00000237249,normal
ENSG00000223525,normal
ENSG00000235869,normal
ENSG00000229531,normal
ENSG00000289425,normal
ENSG00000252552,normal
ENSG00000287697,normal
ENSG00000116161,normal
ENSG00000120333,normal
ENSG00000206659,normal
ENSG00000181101,normal
ENSG00000120332,normal
ENSG00000235750,normal
ENSG00000230687,normal
ENSG00000233946,normal
ENSG00000260990,normal
ENSG00000116147,normal
ENSG00000235628,normal
ENSG00000224718,normal
ENSG00000227740,normal
ENSG00000230777,normal
ENSG00000143207,normal
ENSG00000252906,normal
ENSG00000228686,normal
ENSG00000236021,normal
ENSG00000273629,normal
ENSG00000232463,normal
ENSG00000253025,normal
ENSG00000227815,normal
ENSG00000231020,normal
ENSG00000225904,normal
ENSG00000116183,normal
ENSG00000237514,normal
ENSG00000286754,normal
ENSG00000152092,normal
ENSG00000202609,normal
ENSG00000198797,normal
ENSG00000224968,normal
ENSG00000227579,normal
ENSG00000236720,normal
ENSG00000120341,normal
ENSG00000254154,normal
ENSG00000242193,normal
ENSG00000276563,normal
ENSG00000224687,normal
ENSG00000075391,normal
ENSG00000270575,normal
ENSG00000213058,normal
ENSG00000188585,normal
ENSG00000264809,normal
ENSG00000285910,normal
ENSG00000240021,normal
ENSG00000213057,normal
ENSG00000201347,normal
ENSG00000273384,normal
ENSG00000266417,normal
ENSG00000273062,normal
ENSG00000116191,normal
ENSG00000228196,normal
ENSG00000201791,normal
ENSG00000116194,normal
ENSG00000289432,normal
ENSG00000116199,normal
ENSG00000232750,normal
ENSG00000186283,normal
ENSG00000143322,normal
ENSG00000234041,normal
ENSG00000231905,normal
ENSG00000212338,normal
ENSG00000201619,normal
ENSG00000231564,normal
ENSG00000225711,normal
ENSG00000223794,normal
ENSG00000228191,normal
ENSG00000057252,normal
ENSG00000162779,normal
ENSG00000224620,normal
ENSG00000236539,normal
ENSG00000261250,normal
ENSG00000116218,normal
ENSG00000251875,normal
ENSG00000227141,normal
ENSG00000261060,normal
ENSG00000162782,normal
ENSG00000243062,normal
ENSG00000143340,normal
ENSG00000229407,normal
ENSG00000231966,normal
ENSG00000169905,normal
ENSG00000272906,normal
ENSG00000143337,normal
ENSG00000264916,normal
ENSG00000261831,normal
ENSG00000260360,normal
ENSG00000135837,normal
ENSG00000235145,normal
ENSG00000223450,normal
ENSG00000261817,normal
ENSG00000116260,normal
ENSG00000121454,normal
ENSG00000230124,normal
ENSG00000235060,normal
ENSG00000265435,normal
ENSG00000236719,normal
ENSG00000206905,normal
ENSG00000143324,normal
ENSG00000283575,normal
ENSG00000225857,normal
ENSG00000135835,normal
ENSG00000243155,normal
ENSG00000232586,normal
ENSG00000251520,normal
ENSG00000270711,normal
ENSG00000135823,normal
ENSG00000153029,normal
ENSG00000289589,normal
ENSG00000162783,normal
ENSG00000237292,normal
ENSG00000225359,normal
ENSG00000179452,normal
ENSG00000198216,normal
ENSG00000273573,normal
ENSG00000252977,normal
ENSG00000288574,normal
ENSG00000222397,normal
ENSG00000287452,normal
ENSG00000179930,normal
ENSG00000224810,normal
ENSG00000225982,normal
ENSG00000228918,normal
ENSG00000232309,normal
ENSG00000289573,normal
ENSG00000232096,normal
ENSG00000206764,normal
ENSG00000228664,normal
ENSG00000231684,normal
ENSG00000135821,normal
ENSG00000203730,normal
ENSG00000203729,normal
ENSG00000121446,normal
ENSG00000270443,normal
ENSG00000233537,normal
ENSG00000135828,normal
ENSG00000276839,normal
ENSG00000143333,normal
ENSG00000261504,normal
ENSG00000135824,normal
ENSG00000227181,normal
ENSG00000271269,normal
ENSG00000135838,normal
ENSG00000287808,normal
ENSG00000135829,normal
ENSG00000157060,normal
ENSG00000224040,normal
ENSG00000285609,normal
ENSG00000226570,normal
ENSG00000176855,normal
ENSG00000207472,normal
ENSG00000135862,normal
ENSG00000224468,normal
ENSG00000058085,normal
ENSG00000157064,normal
ENSG00000287929,normal
ENSG00000233562,normal
ENSG00000286372,normal
ENSG00000232860,normal
ENSG00000116698,normal
ENSG00000116701,normal
ENSG00000289732,normal
ENSG00000289099,normal
ENSG00000286966,normal
ENSG00000162704,normal
ENSG00000143344,normal
ENSG00000173627,normal
ENSG00000270994,normal
ENSG00000227554,normal
ENSG00000289581,normal
ENSG00000198756,normal
ENSG00000198860,normal
ENSG00000286655,normal
ENSG00000199840,normal
ENSG00000207080,normal
ENSG00000231791,normal
ENSG00000244568,normal
ENSG00000271387,normal
ENSG00000116667,normal
ENSG00000230470,normal
ENSG00000232036,normal
ENSG00000285847,normal
ENSG00000290066,normal
ENSG00000286378,normal
ENSG00000116406,normal
ENSG00000135842,normal
ENSG00000252222,normal
ENSG00000260976,normal
ENSG00000201312,normal
ENSG00000121481,normal
ENSG00000232792,normal
ENSG00000121486,normal
ENSG00000116668,normal
ENSG00000231084,normal
ENSG00000213051,normal
ENSG00000201421,normal
ENSG00000206640,normal
ENSG00000233583,normal
ENSG00000252612,normal
ENSG00000238061,normal
ENSG00000279838,normal
ENSG00000116679,normal
ENSG00000273004,normal
ENSG00000261024,normal
ENSG00000252407,normal
ENSG00000270920,normal
ENSG00000279401,normal
ENSG00000228309,normal
ENSG00000207108,normal
ENSG00000201596,normal
ENSG00000261729,normal
ENSG00000143341,normal
ENSG00000224691,normal
ENSG00000288078,normal
ENSG00000116690,normal
ENSG00000047410,normal
ENSG00000202025,normal
ENSG00000157181,normal
ENSG00000229739,normal
ENSG00000116703,normal
ENSG00000273198,normal
ENSG00000228238,normal
ENSG00000233196,normal
ENSG00000288562,normal
ENSG00000073756,normal
ENSG00000273129,normal
ENSG00000116711,normal
ENSG00000230426,normal
ENSG00000271558,normal
ENSG00000225462,normal
ENSG00000274702,normal
ENSG00000236401,normal
ENSG00000223847,normal
ENSG00000285894,normal
ENSG00000150732,normal
ENSG00000222240,normal
ENSG00000261182,normal
ENSG00000224278,normal
ENSG00000225006,normal
ENSG00000235083,normal
ENSG00000231022,normal
ENSG00000237283,normal
ENSG00000238054,normal
ENSG00000226486,normal
ENSG00000271036,normal
ENSG00000226196,normal
ENSG00000252553,normal
ENSG00000232212,normal
ENSG00000238270,normal
ENSG00000287472,normal
ENSG00000230987,normal
ENSG00000162670,normal
ENSG00000225811,normal
ENSG00000237457,normal
ENSG00000241505,normal
ENSG00000231175,normal
ENSG00000236025,normal
ENSG00000238108,normal
ENSG00000285638,normal
ENSG00000228020,normal
ENSG00000261642,normal
ENSG00000271187,normal
ENSG00000233882,normal
ENSG00000228215,normal
ENSG00000223344,normal
ENSG00000150681,normal
ENSG00000285280,normal
ENSG00000226723,normal
ENSG00000236792,normal
ENSG00000253148,normal
ENSG00000236069,normal
ENSG00000090104,normal
ENSG00000289995,normal
ENSG00000127074,normal
ENSG00000231767,normal
ENSG00000283795,normal
ENSG00000228687,normal
ENSG00000226814,normal
ENSG00000116741,normal
ENSG00000223075,normal
ENSG00000234473,normal
ENSG00000116750,normal
ENSG00000238754,normal
ENSG00000116747,normal
ENSG00000023572,normal
ENSG00000134371,normal
ENSG00000221680,normal
ENSG00000162630,normal
ENSG00000276735,normal
ENSG00000232077,normal
ENSG00000286285,normal
ENSG00000227240,normal
ENSG00000288950,normal
ENSG00000226640,normal
ENSG00000237011,normal
ENSG00000237213,normal
ENSG00000233057,normal
ENSG00000231714,normal
ENSG00000251813,normal
ENSG00000228167,normal
ENSG00000285718,normal
ENSG00000287364,normal
ENSG00000227421,normal
ENSG00000162687,normal
ENSG00000265986,normal
ENSG00000000971,normal
ENSG00000289697,normal
ENSG00000116785,normal
ENSG00000244414,normal
ENSG00000285986,normal
ENSG00000134365,normal
ENSG00000080910,normal
ENSG00000273844,normal
ENSG00000134389,normal
ENSG00000143278,normal
ENSG00000066279,normal
ENSG00000235748,normal
ENSG00000177888,normal
ENSG00000290127,normal
ENSG00000237861,normal
ENSG00000134376,normal
ENSG00000221879,normal
ENSG00000230260,normal
ENSG00000213047,normal
ENSG00000207139,normal
ENSG00000213046,normal
ENSG00000235582,normal
ENSG00000233040,normal
ENSG00000224901,normal
ENSG00000203724,normal
ENSG00000143355,normal
ENSG00000151414,normal
ENSG00000232824,normal
ENSG00000287989,normal
ENSG00000151418,normal
ENSG00000223881,normal
ENSG00000081237,normal
ENSG00000261573,normal
ENSG00000236278,normal
ENSG00000229989,normal
ENSG00000207975,normal
ENSG00000207759,normal
ENSG00000227747,normal
ENSG00000225172,normal
ENSG00000233410,normal
ENSG00000235492,normal
ENSG00000286541,normal
ENSG00000231718,normal
ENSG00000228190,normal
ENSG00000236468,normal
ENSG00000231984,normal
ENSG00000228530,normal
ENSG00000200139,normal
ENSG00000229747,normal
ENSG00000290125,normal
ENSG00000202491,normal
ENSG00000202329,normal
ENSG00000116833,normal
ENSG00000252860,normal
ENSG00000229220,normal
ENSG00000233827,normal
ENSG00000203721,normal
ENSG00000273093,normal
ENSG00000213045,normal
ENSG00000230623,normal
ENSG00000162702,normal
ENSG00000282849,normal
ENSG00000118193,normal
ENSG00000118197,normal
ENSG00000260088,normal
ENSG00000118200,normal
ENSG00000231333,normal
ENSG00000170128,normal
ENSG00000163362,normal
ENSG00000233217,normal
ENSG00000201032,normal
ENSG00000116852,normal
ENSG00000229191,normal
ENSG00000234132,normal
ENSG00000081248,normal
ENSG00000232237,normal
ENSG00000116857,normal
ENSG00000163395,normal
ENSG00000229821,normal
ENSG00000081277,normal
ENSG00000118194,normal
ENSG00000286600,normal
ENSG00000159166,normal
ENSG00000282221,normal
ENSG00000159173,normal
ENSG00000227048,normal
ENSG00000174307,normal
ENSG00000224818,normal
ENSG00000159176,normal
ENSG00000224536,normal
ENSG00000223396,normal
ENSG00000134369,normal
ENSG00000236390,normal
ENSG00000231871,normal
ENSG00000264802,normal
ENSG00000235121,normal
ENSG00000200942,normal
ENSG00000221028,normal
ENSG00000198700,normal
ENSG00000277681,normal
ENSG00000198892,normal
ENSG00000223774,normal
ENSG00000163431,normal
ENSG00000134375,normal
ENSG00000206637,normal
ENSG00000238003,normal
ENSG00000176393,normal
ENSG00000234678,normal
ENSG00000275207,normal
ENSG00000163435,normal
ENSG00000249007,normal
ENSG00000232296,normal
ENSG00000235811,normal
ENSG00000212512,normal
ENSG00000227109,normal
ENSG00000170075,normal
ENSG00000143862,normal
ENSG00000143851,normal
ENSG00000243323,normal
ENSG00000133067,normal
ENSG00000077152,normal
ENSG00000077157,normal
ENSG00000229120,normal
ENSG00000272262,normal
ENSG00000232626,normal
ENSG00000236439,normal
ENSG00000253042,normal
ENSG00000143858,normal
ENSG00000226862,normal
ENSG00000225620,normal
ENSG00000117139,normal
ENSG00000235449,normal
ENSG00000226148,normal
ENSG00000260021,normal
ENSG00000228288,normal
ENSG00000184774,normal
ENSG00000291234,normal
ENSG00000214796,normal
ENSG00000234996,normal
ENSG00000183155,normal
ENSG00000117153,normal
ENSG00000230280,normal
ENSG00000199471,normal
ENSG00000159346,normal
ENSG00000159348,normal
ENSG00000234761,normal
ENSG00000290909,normal
ENSG00000231547,normal
ENSG00000163444,normal
ENSG00000143847,normal
ENSG00000122180,normal
ENSG00000163485,normal
ENSG00000234775,normal
ENSG00000224671,normal
ENSG00000133055,normal
ENSG00000133048,normal
ENSG00000133063,normal
ENSG00000236523,normal
ENSG00000231507,normal
ENSG00000288925,normal
ENSG00000233791,normal
ENSG00000159388,normal
ENSG00000202300,normal
ENSG00000122176,normal
ENSG00000229652,normal
ENSG00000271588,normal
ENSG00000188783,normal
ENSG00000188770,normal
ENSG00000058668,normal
ENSG00000236035,normal
ENSG00000221643,normal
ENSG00000122188,normal
ENSG00000257315,normal
ENSG00000058673,normal
ENSG00000288644,normal
ENSG00000227417,normal
ENSG00000223505,normal
ENSG00000182004,normal
ENSG00000236430,normal
ENSG00000232917,normal
ENSG00000237379,normal
ENSG00000286383,normal
ENSG00000176754,normal
ENSG00000286572,normal
ENSG00000143842,normal
ENSG00000261065,normal
ENSG00000143845,normal
ENSG00000230550,normal
ENSG00000143839,normal
ENSG00000225522,normal
ENSG00000170498,normal
ENSG00000174567,normal
ENSG00000143850,normal
ENSG00000231691,normal
ENSG00000219133,normal
ENSG00000280924,normal
ENSG00000226330,normal
ENSG00000237848,normal
ENSG00000158615,normal
ENSG00000288934,normal
ENSG00000133056,normal
ENSG00000198625,normal
ENSG00000236779,normal
ENSG00000200408,normal
ENSG00000240710,normal
ENSG00000170382,normal
ENSG00000240219,normal
ENSG00000228153,normal
ENSG00000252650,normal
ENSG00000251861,normal
ENSG00000287197,normal
ENSG00000163531,normal
ENSG00000229657,normal
ENSG00000184144,normal
ENSG00000174529,normal
ENSG00000117222,normal
ENSG00000271580,normal
ENSG00000236108,normal
ENSG00000133059,normal
ENSG00000213041,normal
ENSG00000133069,normal
ENSG00000225063,normal
ENSG00000163545,normal
ENSG00000162873,normal
ENSG00000235363,normal
ENSG00000226235,normal
ENSG00000186007,normal
ENSG00000281406,normal
ENSG00000199059,normal
ENSG00000224717,normal
ENSG00000117266,normal
ENSG00000253097,normal
ENSG00000174514,normal
ENSG00000206762,normal
ENSG00000158711,normal
ENSG00000236942,normal
ENSG00000158715,normal
ENSG00000275213,normal
ENSG00000069275,normal
ENSG00000201944,normal
ENSG00000117280,normal
ENSG00000285521,normal
ENSG00000133065,normal
ENSG00000286619,normal
ENSG00000162877,normal
ENSG00000174502,normal
ENSG00000227687,normal
ENSG00000276600,normal
ENSG00000196188,normal
ENSG00000285417,normal
ENSG00000263961,normal
ENSG00000252692,normal
ENSG00000198049,normal
ENSG00000226780,normal
ENSG00000287432,normal
ENSG00000225483,normal
ENSG00000236889,normal
ENSG00000196550,normal
ENSG00000266028,normal
ENSG00000229509,normal
ENSG00000263528,normal
ENSG00000278465,normal
ENSG00000162888,normal
ENSG00000261000,normal
ENSG00000266094,normal
ENSG00000234981,normal
ENSG00000279946,normal
ENSG00000143486,normal
ENSG00000237605,normal
ENSG00000143479,normal
ENSG00000162889,normal
ENSG00000224114,normal
ENSG00000199349,normal
ENSG00000136634,normal
ENSG00000142224,normal
ENSG00000162891,normal
ENSG00000162892,normal
ENSG00000162894,normal
ENSG00000271680,normal
ENSG00000226945,normal
ENSG00000162896,normal
ENSG00000162897,normal
ENSG00000182795,normal
ENSG00000123836,normal
ENSG00000180667,normal
ENSG00000123843,normal
ENSG00000123838,normal
ENSG00000275392,normal
ENSG00000226565,normal
ENSG00000224462,normal
ENSG00000243636,normal
ENSG00000232621,normal
ENSG00000237074,normal
ENSG00000196352,normal
ENSG00000283044,normal
ENSG00000117322,normal
ENSG00000203710,normal
ENSG00000236911,normal
ENSG00000197721,normal
ENSG00000244703,normal
ENSG00000226289,normal
ENSG00000274059,normal
ENSG00000285239,normal
ENSG00000117335,normal
ENSG00000203709,normal
ENSG00000234219,normal
ENSG00000284214,normal
ENSG00000284203,normal
ENSG00000289071,normal
ENSG00000174059,normal
ENSG00000285719,normal
ENSG00000284237,normal
ENSG00000076356,normal
ENSG00000287220,normal
ENSG00000286198,normal
ENSG00000226843,normal
ENSG00000261453,normal
ENSG00000259815,normal
ENSG00000227887,normal
ENSG00000232812,normal
ENSG00000236950,normal
ENSG00000278684,normal
ENSG00000287046,normal
ENSG00000232537,normal
ENSG00000228081,normal
ENSG00000224540,normal
ENSG00000225712,normal
ENSG00000227940,normal
ENSG00000231648,normal
ENSG00000230937,normal
ENSG00000284485,normal
ENSG00000224260,normal
ENSG00000287902,normal
ENSG00000008118,normal
ENSG00000196878,normal
ENSG00000283876,normal
ENSG00000227591,normal
ENSG00000123689,normal
ENSG00000117594,normal
ENSG00000236136,normal
ENSG00000009790,normal
ENSG00000162757,normal
ENSG00000289700,normal
ENSG00000117595,normal
ENSG00000117597,normal
ENSG00000143469,normal
ENSG00000287343,normal
ENSG00000203706,normal
ENSG00000082497,normal
ENSG00000228110,normal
ENSG00000233455,normal
ENSG00000054392,normal
ENSG00000287354,normal
ENSG00000200972,normal
ENSG00000287157,normal
ENSG00000270936,normal
ENSG00000143473,normal
ENSG00000279333,normal
ENSG00000224668,normal
ENSG00000283952,normal
ENSG00000284376,normal
ENSG00000234233,normal
ENSG00000234004,normal
ENSG00000226986,normal
ENSG00000117625,normal
ENSG00000082512,normal
ENSG00000287033,normal
ENSG00000153363,normal
ENSG00000236809,normal
ENSG00000238137,normal
ENSG00000198570,normal
ENSG00000223649,normal
ENSG00000170385,normal
ENSG00000261314,normal
ENSG00000288738,normal
ENSG00000228792,normal
ENSG00000227764,normal
ENSG00000117650,normal
ENSG00000224763,normal
ENSG00000231057,normal
ENSG00000226868,normal
ENSG00000123684,normal
ENSG00000241395,normal
ENSG00000212205,normal
ENSG00000229258,normal
ENSG00000233626,normal
ENSG00000143493,normal
ENSG00000212187,normal
ENSG00000143476,normal
ENSG00000220749,normal
ENSG00000264358,normal
ENSG00000252879,normal
ENSG00000229983,normal
ENSG00000226251,normal
ENSG00000066027,normal
ENSG00000230063,normal
ENSG00000234915,normal
ENSG00000225338,normal
ENSG00000201544,normal
ENSG00000229832,normal
ENSG00000065600,normal
ENSG00000287445,normal
ENSG00000117691,normal
ENSG00000224535,normal
ENSG00000286213,normal
ENSG00000228067,normal
ENSG00000260805,normal
ENSG00000288007,normal
ENSG00000162772,normal
ENSG00000235862,normal
ENSG00000162771,normal
ENSG00000226036,normal
ENSG00000237980,normal
ENSG00000123685,normal
ENSG00000117697,normal
ENSG00000203705,normal
ENSG00000236905,normal
ENSG00000185523,normal
ENSG00000198468,normal
ENSG00000235182,normal
ENSG00000236317,normal
ENSG00000162769,normal
ENSG00000282718,normal
ENSG00000143494,normal
ENSG00000174606,normal
ENSG00000136643,normal
ENSG00000228646,normal
ENSG00000225233,normal
ENSG00000228255,normal
ENSG00000230461,normal
ENSG00000281664,normal
ENSG00000117707,normal
ENSG00000274895,normal
ENSG00000272167,normal
ENSG00000283518,normal
ENSG00000143499,normal
ENSG00000228470,normal
ENSG00000152104,normal
ENSG00000213036,normal
ENSG00000215819,normal
ENSG00000117724,normal
ENSG00000250536,normal
ENSG00000224584,normal
ENSG00000185221,normal
ENSG00000223869,normal
ENSG00000287008,normal
ENSG00000082482,normal
ENSG00000232809,normal
ENSG00000282265,normal
ENSG00000136636,normal
ENSG00000042781,normal
ENSG00000202498,normal
ENSG00000229242,normal
ENSG00000233620,normal
ENSG00000236292,normal
ENSG00000226013,normal
ENSG00000196482,normal
ENSG00000092978,normal
ENSG00000162814,normal
ENSG00000234070,normal
ENSG00000228247,normal
ENSG00000231814,normal
ENSG00000230714,normal
ENSG00000232100,normal
ENSG00000286775,normal
ENSG00000201493,normal
ENSG00000067533,normal
ENSG00000229016,normal
ENSG00000223375,normal
ENSG00000232480,normal
ENSG00000092969,normal
ENSG00000281453,normal
ENSG00000228208,normal
ENSG00000212610,normal
ENSG00000226693,normal
ENSG00000225561,normal
ENSG00000228063,normal
ENSG00000143353,normal
ENSG00000225920,normal
ENSG00000223842,normal
ENSG00000277007,normal
ENSG00000287676,normal
ENSG00000228536,normal
ENSG00000238232,normal
ENSG00000215817,normal
ENSG00000196660,normal
ENSG00000252086,normal
ENSG00000221673,normal
ENSG00000136628,normal
ENSG00000162813,normal
ENSG00000067704,normal
ENSG00000207590,normal
ENSG00000207624,normal
ENSG00000232134,normal
ENSG00000118873,normal
ENSG00000281696,normal
ENSG00000222370,normal
ENSG00000270585,normal
ENSG00000270708,normal
ENSG00000218283,normal
ENSG00000213033,normal
ENSG00000230318,normal
ENSG00000232883,normal
ENSG00000226927,normal
ENSG00000260505,normal
ENSG00000235163,normal
ENSG00000234863,normal
ENSG00000226226,normal
ENSG00000231529,normal
ENSG00000116141,normal
ENSG00000243872,normal
ENSG00000233012,normal
ENSG00000162817,normal
ENSG00000117791,normal
ENSG00000186205,normal
ENSG00000286231,normal
ENSG00000221571,normal
ENSG00000276642,normal
ENSG00000272823,normal
ENSG00000238078,normal
ENSG00000257551,normal
ENSG00000289142,normal
ENSG00000136630,normal
ENSG00000226211,normal
ENSG00000234754,normal
ENSG00000232436,normal
ENSG00000286398,normal
ENSG00000227585,normal
ENSG00000286421,normal
ENSG00000143507,normal
ENSG00000227925,normal
ENSG00000200033,normal
ENSG00000238042,normal
ENSG00000228437,normal
ENSG00000232679,normal
ENSG00000236230,normal
ENSG00000227613,normal
ENSG00000226643,normal
ENSG00000234419,normal
ENSG00000276997,normal
ENSG00000222399,normal
ENSG00000267305,normal
ENSG00000143512,normal
ENSG00000143498,normal
ENSG00000225265,normal
ENSG00000154305,normal
ENSG00000229399,normal
ENSG00000272750,normal
ENSG00000186063,normal
ENSG00000162819,normal
ENSG00000197520,normal
ENSG00000289880,normal
ENSG00000287684,normal
ENSG00000154309,normal
ENSG00000234523,normal
ENSG00000287338,normal
ENSG00000187554,normal
ENSG00000236846,normal
ENSG00000226601,normal
ENSG00000143502,normal
ENSG00000251789,normal
ENSG00000178395,normal
ENSG00000203697,normal
ENSG00000227002,normal
ENSG00000212398,normal
ENSG00000162909,normal
ENSG00000143514,normal
ENSG00000288999,normal
ENSG00000227621,normal
ENSG00000188460,normal
ENSG00000233771,normal
ENSG00000291068,normal
ENSG00000212157,normal
ENSG00000272645,normal
ENSG00000290989,normal
ENSG00000278467,normal
ENSG00000185495,normal
ENSG00000229930,normal
ENSG00000252484,normal
ENSG00000143756,normal
ENSG00000236773,normal
ENSG00000143753,normal
ENSG00000201898,normal
ENSG00000232628,normal
ENSG00000237101,normal
ENSG00000143748,normal
ENSG00000221406,normal
ENSG00000229742,normal
ENSG00000206887,normal
ENSG00000143771,normal
ENSG00000162923,normal
ENSG00000266618,normal
ENSG00000143786,normal
ENSG00000229991,normal
ENSG00000233384,normal
ENSG00000234247,normal
ENSG00000286174,normal
ENSG00000229400,normal
ENSG00000225334,normal
ENSG00000286719,normal
ENSG00000185842,normal
ENSG00000143815,normal
ENSG00000234476,normal
ENSG00000282418,normal
ENSG00000289962,normal
ENSG00000154380,normal
ENSG00000289602,normal
ENSG00000227496,normal
ENSG00000226349,normal
ENSG00000223306,normal
ENSG00000143742,normal
ENSG00000234112,normal
ENSG00000143819,normal
ENSG00000242861,normal
ENSG00000196187,normal
ENSG00000243709,normal
ENSG00000255835,normal
ENSG00000143811,normal
ENSG00000284519,normal
ENSG00000248322,normal
ENSG00000143768,normal
ENSG00000213032,normal
ENSG00000143751,normal
ENSG00000289341,normal
ENSG00000272562,normal
ENSG00000163041,normal
ENSG00000225518,normal
ENSG00000270598,normal
ENSG00000182827,normal
ENSG00000234478,normal
ENSG00000223570,normal
ENSG00000185155,normal
ENSG00000183814,normal
ENSG00000236994,normal
ENSG00000275406,normal
ENSG00000289348,normal
ENSG00000143799,normal
ENSG00000270287,normal
ENSG00000229965,normal
ENSG00000223282,normal
ENSG00000177770,normal
ENSG00000287627,normal
ENSG00000203685,normal
ENSG00000143772,normal
ENSG00000228382,normal
ENSG00000228548,normal
ENSG00000238183,normal
ENSG00000287259,normal
ENSG00000143801,normal
ENSG00000288674,normal
ENSG00000163050,normal
ENSG00000228525,normal
ENSG00000143776,normal
ENSG00000233706,normal
ENSG00000287532,normal
ENSG00000228625,normal
ENSG00000228729,normal
ENSG00000236636,normal
ENSG00000287525,normal
ENSG00000234277,normal
ENSG00000232864,normal
ENSG00000242757,normal
ENSG00000224834,normal
ENSG00000237193,normal
ENSG00000278180,normal
ENSG00000237469,normal
ENSG00000235827,normal
ENSG00000227711,normal
ENSG00000287205,normal
ENSG00000202264,normal
ENSG00000181450,normal
ENSG00000225934,normal
ENSG00000215812,normal
ENSG00000143740,normal
ENSG00000081692,normal
ENSG00000230005,normal
ENSG00000286389,normal
ENSG00000185888,normal
ENSG00000143816,normal
ENSG00000264483,normal
ENSG00000233003,normal
ENSG00000274886,normal
ENSG00000154342,normal
ENSG00000276255,normal
ENSG00000143761,normal
ENSG00000284163,normal
ENSG00000143793,normal
ENSG00000162910,normal
ENSG00000224566,normal
ENSG00000287895,normal
ENSG00000280157,normal
ENSG00000227625,normal
ENSG00000143774,normal
ENSG00000198835,normal
